name,rating,review
,10,시작한지얼마안되어서부터꿈을얘기하는데듣다보면눈물이난다그꿈이허황되기때문일까쉽게꿈꿀수없는그꿈이아름답기때문일까생각보다묵직한음악으로의시작이라좋았고처음들어보는잭에프론의목소리는무척무척취향이라놀라웠다
,8,좀뻔한전개스토리이긴하지만아주재밌게봤고감동적이었습니다실화영화인것을생각하니더욱좋았습니다가족이나아주친한사람들과함께보면아주좋을영화입니다명대사들이많이나오고기대이상이었습니다많은분들께추천합니다
,10,올해최고의뮤지컬영화입니다단언컨데꼭다시한번볼것입니다
,10,라라랜드보다재밌다10만원이넘는비싼뮤지컬보다1만원이안되는위대한쇼맨이한수위한해를마무리하면서세상을살아가는데에는역시함께와용기라는생각을다시하게해주어서좋았다연말에가족들이보기딱좋은영화
소년 아메드,,
,9,영화가끝나도바뀌는것은없다아메드가배교자라고믿는선생님을죽이려고가슴에품은흉기로그배교자선생님에게도움을구하려고철조물을두두리는장면에서우리는우기가가지고있는무기를신념을종교를어떻게써야하는지분명한답을다르데형제는주고있다바로남을변화시키려고쓰는것이아니라자신을위해자신을살리기위해써야되는것이다
,10,사랑앞에서도동경하던천국문이죽음앞에서는지푸라기를잡는구나
,10,타란티노였다면대책없는막장종교힙찔이로묘사했을싸이코킬러의탄생기를다르덴형제는이처럼정연하게표현했다
,8,신념에잠식되어어디로가는지모르고달리는소년에게다르덴형제는말없이지켜보다조용하게손을건낸다언제나희망을놓지않는그들의시선에경의를표한다
,7,광신도소년의내적성장기
,7,이영화보면이슬람교를나쁜쪽으로생각하는사람들이많아질거같아요배신하는사람들은살해하라는알라의뜻인지끝까지어린애가죄없는여자선생을죽이려하네요
,8,자신이굳게믿고있는신념일지라도인간과사회가분리된다면끝없이회의해야함을느낀다사람은사람에의해서영향을많이받기에올바른스승과사람들과의연대가중요함을또한그러한사람이되도록끊임없이사람과의대화가필요하다
,6,정말영화의끝이변화의시작일까
,8,너를묵묵히응원하는수밖에
,10,이영화를보고영화관을나오자머리속에서다시시작되는영화모든결정은인간몫임을
시네마 천국,,
,10,배경음lovetheme의감동적인선율과영사기에서나오는달콤한키스장면들을보며토토의회상에젖은듯한애잔한표정지금도잊을수가없다
,9,불멸의명작영화인을꿈꾸는사람이라면반드시봐야할영화
,10,탄탄한스토리와거장엔니오모리꼬네가만들어낸최고의영화몇번을봐도마지막장면에선항상토토와함께눈물을흘린다우정사랑추억이어우러져가슴을절로아련하게만든다숨은이야기가담긴감독판으로재상영했으면하는바람이
,10,20년이훨씬지났지만아직도생각하면가슴이벅차네요
,10,오랜만에다시보아도너무예쁘고사랑스런눈물나게하는영화
,10,지금극장에걸려있는건축약판123분축약판만보신분들은꼭감독판173분도구해서보시길전혀다른맛을느낄수있음나는개인적으로감독판을훨씬더좋아함훨씬더뭐랄까맛이깊어서
,10,10대에보았다그때는왜눈물이그치지않는지알수가없었다30중반이제서다시보고알게되었다첫사랑같이추억은아름답지만그립지만다시는다시는가질수없는안타까움때문이다
,1,영화관에서절대보지말아라이야기를끌어가는주요이야기인엘레나와토토의재회부분을끝에통째로들어냈다상영시간때문에그랬을거지만이건범죄수준에가깝다번역도개판이고이영화를진심으로사랑하는사람으로써배급사죽여버리고싶다
,10,아근데재개봉버전뭐이렇게삭제된장면이많냐후반엘레나시퀀스는통째로삭제됐네
,10,삶의모든것이들어있었다ㅠㅠ
비바리움,,
,10,오은영선생님이절실했던영화
,7,자유라는선의로포장되어있으나실상은한정된선택권속에그들이제공하는의식주를소비하며그들의감시체제하에그들의기득권을유지해주기위해끊임없이희생되는소시민들의고단한인생여정
,10,생각을많이할수있는영화입니다씁쓸해지면서도공감되고소름끼치기도해요
,7,보금자리같은미로에영원히구속된가족이라는사슬
,9,개인적으로제목처럼외계인의실험장같은느낌이듭니다인류를모방한생물로인류의생태를관찰단순히집을보러온사람들은운이없는거겠죠인간이아무곤충을잡아서관찰하는것처럼
,8,유오성해외진출작ㅇㅇ
,10,큰돈들이지않고큰CG효과없이이렇게현실적인공포를만들수있는천조국이부럽다
